x,y
-10,-1.38342
-9.8,-2.19202
-9.6,-1.89309
-9.4,-2.07023
-9.2,-1.95037
-9,-2.03628
-8.8,-1.97321
-8.6,-2.01957
-8.4,-1.98625
-8.2,-2.00884
-8,-1.99549
-7.8,-2.00054
-7.6,-2.00326
-7.4,-1.99298
-7.2,-2.0109
-7,-1.98494
-6.8,-2.01969
-6.6,-1.97496
-6.4,-2.03152
-6.2,-1.96026
-6,-2.05079
-5.8,-1.93322
-5.6,-2.0924
-5.4,-1.8594
-5.2,-2.26313
-5,-1.00969
-4.8,2.28255
-4.6,1.83987
-4.4,2.11212
-4.2,1.91323
-4,2.07114
-3.8,1.93946
-3.6,2.05287
-3.4,1.95293
-3.2,2.04251
-3,1.96115
-2.8,2.03583
-2.6,1.96669
-2.4,2.03118
-2.2,1.97065
-2,2.02777
-1.8,1.9736
-1.6,2.02521
-1.4,1.97584
-1.2,2.02324
-1,1.97756
-0.8,2.02174
-0.6,1.97886
-0.4,2.02062
-0.2,1.97981
-2.05391e-15,2.01983
0.2,1.98044
0.4,2.01936
0.6,1.98075
0.8,2.01921
1,1.98073
1.2,2.01943
1.4,1.98031
1.6,2.02007
1.8,1.97941
2,2.02127
2.2,1.97785
2.4,2.02326
2.6,1.97535
2.8,2.02642
3,1.97135
3.2,2.03151
3.4,1.96477
3.6,2.04018
3.8,1.95306
4,2.0566
4.2,1.92875
4.4,2.09556
4.6,1.85751
4.8,2.26376
5,1.01032
5.2,-2.28444
5.4,-1.8367
5.6,-2.11659
5.8,-1.90742
6,-2.07834
6.2,-1.9308
6.4,-2.06306
6.6,-1.94111
6.8,-2.0561
7,-1.94564
7.2,-2.05346
7.4,-1.94669
7.6,-2.05386
7.8,-1.94487
8,-2.0572
8.2,-1.93978
8.4,-2.06446
8.6,-1.92962
8.8,-2.07879
9,-1.90872
9.2,-2.11122
9.4,-1.85259
9.6,-2.2322
9.8,-1.3434
